execution_position,case_id,accession,organism,genus,species,target,stratum,assembly_level,assembly_quality,genome_size,release_date,sampling_hash,selection_tie_hash,execution_hash,ambiguity_score,selection_rank
11,M60_rpoB_RNAP_beta_GCF_051167675.1,GCF_051167675.1,Bradyrhizobium sp. HKCCYLS2033,Bradyrhizobium,Bradyrhizobium sp. HKCCYLS2033,rpoB_RNAP_beta,challenge,Contig,scaffold_or_contig,7089637,2025-07-01,0009b2a3af58940f84f3f055bafdee9f136057249091935cdc3ad2a6fa4ea9bf,2a9f38dd119675dcc4b1d81837face450093898c0e322be5e39cb4dcbeeb4197,2bece48a3114355ce2004ba78c410a51c1f80c82044d19429763eef0ea4e8eea,9,13
12,M60_rpoB_RNAP_beta_GCF_048315775.1,GCF_048315775.1,Oceanimonas smirnovii,Oceanimonas,Oceanimonas smirnovii,rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,3265052,2025-03-03,000f1810501488b4669a24de96791d90a836f6ad9098cd03130250aab5a97d24,7705192fa37dbb69c80a89a577bfbf0bd68ebb0ab4a22fd27261abbca6e3ba2b,2d5be96c0a094fd7d571b1849ea1ede08e69a902e3daa99e9f779d49db66fa80,,
13,M60_tetA_tetracycline_efflux_GCF_056269845.1,GCF_056269845.1,Escherichia coli,Escherichia,Escherichia coli,tetA_tetracycline_efflux,routine,Complete Genome,complete_or_chromosome,4665033,2026-03-23,0013dd6cd2c19f7253b3444f0ef49a717acb8c8f67e92a4d9bae7e94f60899cb,6aba5612138cd7a963c29224e2c760fbe690e352f45187d01abb58597a062164,2f83f0dca512c22264d53fc1814b714ae5b1624d302c8c738d8de3dfbbfce4ad,,
14,M60_tetA_tetracycline_efflux_GCF_060343445.1,GCF_060343445.1,Limosilactobacillus reuteri,Limosilactobacillus,Limosilactobacillus reuteri,tetA_tetracycline_efflux,routine,Complete Genome,complete_or_chromosome,2316866,2026-08-22,000216d94f67db650e44417e782d58ede4f524d88b494ace4c5563cc47c0f5d9,d1e295005e9084b81ba7914f082e83b6e503099f836ba91e8b85cecb942fda0b,2fe5022730647ec8d1218f6c2231435f15a693efb93803e3911d20f5ebbc2022,,
15,M60_tetA_tetracycline_efflux_GCF_965236745.1,GCF_965236745.1,Clostridium butyricum,Clostridium,Clostridium butyricum,tetA_tetracycline_efflux,routine,Contig,scaffold_or_contig,4676122,2025-12-06,0006ac3b61437edd38741fcf171f7e618b6b1d52f00f212c41d231bded0856d3,3e0e286033a49ff6c4fb41eb79eade0abcd044a24b989b5701f6aa6f030f0edf,3a52b567142744dc9a2c7a9d4ce0a9dd127e1e6049f05a7163d3eb5ad45dde0a,,
16,M60_tetA_tetracycline_efflux_GCF_965275775.1,GCF_965275775.1,Streptococcus gallolyticus subsp. gallolyticus,Streptococcus,Streptococcus gallolyticus,tetA_tetracycline_efflux,routine,Chromosome,complete_or_chromosome,2468412,2025-06-02,0005747b22c1d8f5d46b3fe6b98b57daf8cf645e4250205b3611877786628644,b03a38349d6e3864bd7eae7cf9bf4b70e3e389dedae234b264a47a576cc55053,460843cbf46a27b8bc37dd13dd0e37f480f9b8eb45037414a69395e621580c7f,,
17,M60_rpoB_RNAP_beta_GCF_052262835.1,GCF_052262835.1,Psychrobacter alimentarius,Psychrobacter,Psychrobacter alimentarius,rpoB_RNAP_beta,challenge,Contig,scaffold_or_contig,3393493,2025-08-26,00157475b4e47db5da19945a73f84394497b48dabbc59bd2eef8894a6a6dbbeb,787a9a391ff13741b51135815c4134bf2ed4ea36c7831999294956ecdb072007,4b511d26b58cb1875e86ec6eb77906322ac40013d472f32c2dd848302a7bd455,9,14
18,M60_rpoB_RNAP_beta_GCF_056155565.1,GCF_056155565.1,Citrobacter portucalensis,Citrobacter,Citrobacter portucalensis,rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,4926005,2026-03-20,000e863e7a27dbeb5c120aaca8391f465f0288de26a1181fc42288f1449e159a,ea97af6e9df9561c9f3204765553e9a2891036548677a086e2f749bdb0c11dcd,4e0137a2dcf36816585c9a9555efe6cca39287e9bd6716a993294d0d7beb5103,,
19,M60_tetA_tetracycline_efflux_GCF_054552735.1,GCF_054552735.1,Acinetobacter baumannii,Acinetobacter,Acinetobacter baumannii,tetA_tetracycline_efflux,routine,Scaffold,scaffold_or_contig,3774360,2026-01-19,00013aab3523aa98272d973421ae48db8bc81854414d7aacd6b4cb11842d456d,24e094eb6f64afd540e50f2105138e7d460a82b2623efd78d6991d4c1eba3f46,522c1d814dbff2d25f97ded2ee00df2a09cda50c754a8df86798f00368b05da7,,
20,M60_rpoB_RNAP_beta_GCF_050847255.1,GCF_050847255.1,Mycolicibacterium sp. ELW1,Mycolicibacterium,Mycolicibacterium sp. ELW1,rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,6462495,2025-06-08,000c833e5d6c326df3e8e9e469a75016e692ce86653882a4951cf4dbde159aec,4df8d59305cccacae79aa4848ced9e637ea2d86211298033d164a534bab5ed57,53cfa5746f486ceda34b93b6a0f045524fe12792067768091bd7a38065172276,,
21,M60_tetA_tetracycline_efflux_GCF_057501835.1,GCF_057501835.1,Corynebacterium sp. LaCa_204,Corynebacterium,Corynebacterium sp. LaCa_204,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,2447355,2026-05-14,00319e6960a0e9fc50b33176a85ba15a4fdea79d5beff85c565af6b1d8eec59c,a3e8bc8efc9a2d1801a52cc9348ca71a5e35cc63a21c95cf862d2b182fe3693d,575a1044b7c032d48897db035adaca55ef15d2f72d1d7fbd627f68960bf9b3c9,9,8
22,M60_tetA_tetracycline_efflux_GCF_049810315.1,GCF_049810315.1,Pseudarthrobacter sp. J47,Pseudarthrobacter,Pseudarthrobacter sp. J47,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,3946066,2025-04-20,0008cffa0336e90c6bb5b31a684185ba319918048e1cebba76458143336299ae,d0e31bd8eb3b8412e71855cab342e359186f6c0f9940a4aa538c8b417153810f,5cca42be19b3b99e3d930c8190c7744d4319190262439cf9ea0310a63dc29b50,10,5
23,M60_tetA_tetracycline_efflux_GCF_052375315.1,GCF_052375315.1,Yersinia pestis,Yersinia,Yersinia pestis,tetA_tetracycline_efflux,routine,Complete Genome,complete_or_chromosome,4710659,2025-09-01,00083fefa26e677e6defb736c5acdd0f61a73479c011339085031ccc4283eefc,808f4bd689c6b2cb556ede235c93f8afbbda3d6f46f2da955b116d0d8889136e,5faabc906f2fb99c91e59d5d14c99768c48147c0b47cbd6dea44537946e1f804,,
24,M60_tetA_tetracycline_efflux_GCF_050600735.1,GCF_050600735.1,Klebsiella sp. 141196,Klebsiella,Klebsiella sp. 141196,tetA_tetracycline_efflux,challenge,Contig,scaffold_or_contig,5113288,2025-05-28,0007cc39eabb1b65a99612c7e7c2bbecf539f1429372347649db36b21a9d86b8,04c58cfe6b78b0883fb0657b3bec2b26e7e8fb100c4e95a74c70ad0067d1c8bb,60aee8eefee089f8ac521af01227a6380531653c73b4138838a6a85e863f3c22,9,15
25,M60_rpoB_RNAP_beta_GCF_053522785.1,GCF_053522785.1,Martinezella rhizogenes,Martinezella,Martinezella rhizogenes,rpoB_RNAP_beta,routine,Contig,scaffold_or_contig,7344821,2025-11-17,00024ea4b4020d677e8ec63968a4ceeeffeaa8f3925a5f8eb0ceb020b6e9c341,dae5b8f6f8dcd2ef9440c1ca23cc88f97a151b5beabea0d3ea7c7b585ecbc0ca,60bc2c19d8b5d3bdbf880e9f9b48f7bd9dca9cfa804426d3eb93858427d1a9d7,,
26,M60_rpoB_RNAP_beta_GCF_055502155.1,GCF_055502155.1,Azospirillum brasilense,Azospirillum,Azospirillum brasilense,rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,7456758,2026-02-25,001900fd9d078dfee312305706d4342d813e8a5f0f05ff6b48e3d4defa4a613f,309d33d7afd55db98593fe03e9acde956ec6acd481c21bc353de13d025d5e89a,64842157d94b4702dee7e24b2187f78723991ce56ca68462b0777854292d9e1f,,
27,M60_tetA_tetracycline_efflux_GCF_051052775.1,GCF_051052775.1,Mycoplasma leachii,Mycoplasma,Mycoplasma leachii,tetA_tetracycline_efflux,routine,Complete Genome,complete_or_chromosome,1019182,2025-06-25,0008dfd86cc307f30cd927a8a4dfcbb10bb3d743e9c00554efd4b638b513d879,78b4e30c058ebe9b293e3ab03baad0a935ecf6f8ab77e6bef972c9e1d00b4a6c,69485f3a1e02ff11e9ae93a59dcfc934a923a3d9a72bc0280c3631f718dd2e82,,
28,M60_tetA_tetracycline_efflux_GCF_052828745.1,GCF_052828745.1,Edwardsiella anguillarum,Edwardsiella,Edwardsiella anguillarum,tetA_tetracycline_efflux,routine,Contig,scaffold_or_contig,4120023,2025-09-24,00052cdec94e7d3e126e7ac3813f8da415c88b04e858ed922642f69dcaba24fa,3c38973a58abeec15ecc65ebd5131798b08b91da92d4cea68bcd5c8bdc8c3de3,80a7049d4cdce990fffd7da02619dd78352232e36170b58e9d719d6b8799d031,,
29,M60_tetA_tetracycline_efflux_GCF_052030555.1,GCF_052030555.1,Cysteiniphilum sp. G11B1,Cysteiniphilum,Cysteiniphilum sp. G11B1,tetA_tetracycline_efflux,routine,Contig,scaffold_or_contig,2736111,2025-08-13,0001639ae5c0c52bd6e28bf46e81b1842b1009fbbdeb991a7dac1f860289140e,7c4df1a83cda3f8e05afcd7766f7ffd6f9c698c45c83271d2a91d61e3cd434ca,872659cf1c8003404b70a1f5a69e4089e53e382e047ca14abd005ed16c6c7279,,
30,M60_tetA_tetracycline_efflux_GCF_056892195.1,GCF_056892195.1,Cronobacter sakazakii,Cronobacter,Cronobacter sakazakii,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,4448959,2026-04-25,003943181956f91a35e53e86696b0500fe42d20bb4ca559fb8e9673c676b142a,a299f529edf5c03fcb9bcb2612a091f60edda5611145a4b8f2fff409af830b99,8c24391592827bf2d21d06ba3499eb2dc1e17cf774a939713f7e38eed1d32b20,9,7
31,M60_tetA_tetracycline_efflux_GCF_987210895.1,GCF_987210895.1,Bacillus sp. QI0713,Bacillus,Bacillus sp.,tetA_tetracycline_efflux,routine,Contig,scaffold_or_contig,4034238,2026-09-05,0002cf1537d35f510a2566d696daaab75e3ddb4bd1aeee5ec964c2d5f912efea,a71ca6388fba166009ae3cf3685ec7880cdc78e801b891153cb8213a4f06e324,8dc2f30f9436051f49534e209e62d5d08ad71b28885e2d299893ca15afec6231,,
32,M60_tetA_tetracycline_efflux_GCF_057525735.1,GCF_057525735.1,Glaesserella parasuis,Glaesserella,Glaesserella parasuis,tetA_tetracycline_efflux,challenge,Contig,scaffold_or_contig,2461273,2026-05-14,000babcf7dc89f23238d21c4dcf77a4bb407acd38bd959288a15248d8d516872,a07e4e269f5e5c5a32b62ce1f39de0bed88ff2eb21972d300a2b260755c368cd,902ecfea9276c9343f9abfc506d1aa5bd89254ba64b65bad4f5a55d014acbbb9,10,14
33,M60_tetA_tetracycline_efflux_GCF_046837775.1,GCF_046837775.1,Hoeflea sp. Naph1,Hoeflea,Hoeflea sp. Naph1,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,4897402,2025-01-21,002491f45737c9e8fd18a9b468a723b52e81675ef0e0e4ad113213cea4e7129b,5a9553007797d5c3dd6a63cc9d392afad8ed67ef85d3f1058e54086843762f31,9b1c99837a9a17b1e5288e95afdbc4f5d47658d9220405384214d60657424d23,9,6
34,M60_tetA_tetracycline_efflux_GCF_054953385.1,GCF_054953385.1,Elizabethkingia anophelis,Elizabethkingia,Elizabethkingia anophelis,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,4146282,2026-02-08,0000f940696e64544f1d4979f3ce17f26672dd1072235f35bc277be97528ceaf,96c5b5a08fd29e97cc82fd06054a2f3b3679b6b9a43464730faa3537ceafb76f,9b2766c2ba0ff46b126f398cd862eacb7df9bdb2d74e9e00f28e49671cba7eb9,12,2
35,M60_rpoB_RNAP_beta_GCF_055562315.1,GCF_055562315.1,Microbacterium resistens,Microbacterium,Microbacterium resistens,rpoB_RNAP_beta,routine,Scaffold,scaffold_or_contig,4071496,2026-02-28,000385be2c562ab2847ca9b00302cdeefe313ddd2309da71762cfc1382dbdd23,d41e43797bce1b78e3265374335f619bf617898d7dff3635c9b26194025f0abf,9faae12cd09cccc6a8d0cf776f2c1d508ffed4fa967b1338f0bd19775a199209,,
36,M60_tetA_tetracycline_efflux_GCF_058409085.1,GCF_058409085.1,Enterobacter hormaechei subsp. steigerwaltii,Enterobacter,Enterobacter hormaechei,tetA_tetracycline_efflux,routine,Complete Genome,complete_or_chromosome,5326731,2026-06-25,00087b7ad8c4daf599c77f4f461c22b84443e86bd10704d0444f577ee369ce58,133c3d50d9f74133ae7bc1a34801fd195fcb2144e0e4a114d5844f74217e3c8a,9fbfcb4fc7497c44849118fff66b092b469500612870f88102454f37c1db565e,,
37,M60_tetA_tetracycline_efflux_GCF_059878295.1,GCF_059878295.1,Lactiplantibacillus plantarum,Lactiplantibacillus,Lactiplantibacillus plantarum,tetA_tetracycline_efflux,routine,Complete Genome,complete_or_chromosome,3184403,2026-08-06,000f6e6e5bab6d7da69825ad8005ba0e2ad77a227a3919a5a72f90e196d95799,bc005fa62d87907a5c7e45f7a81cefbe51072ebd67f92bc42e76bbaedfa73c3f,a18cb391cf2ae5fe2b7bf14ddc6993962b2c949f998111b8bfa39d48aa524efb,,
38,M60_rpoB_RNAP_beta_GCF_050506825.1,GCF_050506825.1,Enterococcus faecalis,Enterococcus,Enterococcus faecalis,rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,3017096,2025-05-21,000f55339c0578f5336c0c658eab66ff971438e971cdaf2830fe4133543447fa,a5baf2717f4013106b58df391e34592adb574ff1b9b02cfb004e3ef543fed9bc,a80274cee05994b8d47184fb5bd8648286b7c9d9bbaa118352c004811bd12f26,,
39,M60_rpoB_RNAP_beta_GCF_056820395.1,GCF_056820395.1,Fusobacterium vincentii,Fusobacterium,Fusobacterium vincentii,rpoB_RNAP_beta,challenge,Complete Genome,complete_or_chromosome,2321971,2026-04-21,0052a00a57472a38fc928ffe56174060c37b1888714a46fe4866135d8e9681ac,3d15dc6466a55d64cd035d22695b4d0c430b144d677949def1676c12cbfc0d0e,aa32d260326ce7dbefe29cc56e8c34c01c0b716b5fece6a480c20c3feb77688a,11,1
40,M60_rpoB_RNAP_beta_GCF_057808655.1,GCF_057808655.1,Rhizobium sp. FG96,Rhizobium,Rhizobium sp. FG96,rpoB_RNAP_beta,routine,Contig,scaffold_or_contig,6552597,2026-06-01,0004e8363748b2ca643ac981d582ad828f28d8833132a69c0a34db53d8c51a09,b34833df6527e8265ce2db5048b85c20ced1bb0a48d97d1a3078f94fc2542923,aacf2e56141de37bb1da1629541044211adc0bacdd4961c70d5e7fb8c8c5a2d7,,
41,M60_tetA_tetracycline_efflux_GCF_056613625.1,GCF_056613625.1,Staphylococcus xylosus,Staphylococcus,Staphylococcus xylosus,tetA_tetracycline_efflux,challenge,Contig,scaffold_or_contig,2781981,2026-04-06,000429faf286eda6269da7537664a5eb817efc0aad44f1ce885d4a1eab3f9829,f0f18c352c7d969cfb5e575376804285dedc436a4a6f13a5ac3a5d2e1eca8e9e,aecd3a927b429ec532545803a4a098e09f0b7190eb6710c5c590b2674cca7517,11,11
42,M60_tetA_tetracycline_efflux_GCF_056405795.1,GCF_056405795.1,Polaromonas sp. P1_F1,Polaromonas,Polaromonas sp. P1_F1,tetA_tetracycline_efflux,challenge,Contig,scaffold_or_contig,4896499,2026-03-29,000c32fce7cbbad57f7f7cd865f49c2526aa102be5b21c1d1d0eb23c8a45621f,37e25fd4be2af4080f0ba07247bf51031498ae67e28a9cefa4286ce580694164,b1462c9a1b8fe068bde60e8cf567a13db4bb90acc3bafc4612d7e42935ee0e39,10,12
43,M60_rpoB_RNAP_beta_GCF_058705105.1,GCF_058705105.1,Providencia zhejiangensis,Providencia,Providencia zhejiangensis,rpoB_RNAP_beta,challenge,Contig,scaffold_or_contig,4373443,2026-07-01,00173a8dd9d847a4227dbc405cf2de69a84643b495bce900241c9c9691683f02,a10663cd61e3a24da5cf8c81fa2bb0332ed3c9ce7b142dac000a48b7edfbc2ab,bf0a4fded66d073d18787451a61d6766514c677d6306b1272915808e022288eb,11,10
44,M60_tetA_tetracycline_efflux_GCF_056539405.1,GCF_056539405.1,Ruegeria sp. BB5,Ruegeria,Ruegeria sp. BB5,tetA_tetracycline_efflux,challenge,Contig,scaffold_or_contig,4350356,2026-04-02,0011c4ea713c61a56fd83d27b26b632c8a7f7b0acb0af4b5e8c0e5a7a6062c7a,96875e43aa268912623f1acd522d934065f7de3f3c91a87e1807f02f7a863de6,d20196fec200c695d14e235e816c32dfcdd02526e5eab4f8e2219cf3e3f8c89d,11,9
45,M60_rpoB_RNAP_beta_GCF_056857995.1,GCF_056857995.1,Mannheimia haemolytica,Mannheimia,Mannheimia haemolytica,rpoB_RNAP_beta,challenge,Complete Genome,complete_or_chromosome,2748516,2026-04-23,001e63f0c06785cddd432caaf8613141129947cfa0adf59c7a9be1044c29f5a7,cb2b02f7862ecf3e5d9e56dc60f76aaca7be8365b5d1f1d43c46828746b0156e,d2e08bc4d1b8169aaaaa2023e7b1b86d8d9c89df2476f6f73a7bddcefeb72f36,11,5
46,M60_tetA_tetracycline_efflux_GCF_053612185.1,GCF_053612185.1,Streptomyces sp. NPDC054757,Streptomyces,Streptomyces sp. NPDC054757,tetA_tetracycline_efflux,routine,Scaffold,scaffold_or_contig,7956802,2025-11-23,0006820473b2c43af24a08b77a6e0e9491fa36e4bec234cb9f9c78ac6a425189,de4488391ce7ff36964e20cf80b905e9052b8bbeeeebc98dc0bd6d2651385848,d50efbcdf0c72fac212aae293c7e0cac7ebb952c1c05581599c9deee4e23d5cb,,
47,M60_rpoB_RNAP_beta_GCF_058370595.1,GCF_058370595.1,Xanthomonas perforans,Xanthomonas,Xanthomonas perforans,rpoB_RNAP_beta,routine,Contig,scaffold_or_contig,5075158,2026-06-23,00040519704df7fcdc46aa75efa13181754b7b9e45e435da75a5a5ea81c947a4,ee948f296de3c814e8bb9d9e40a1a115d4979f5d8b24da7c3cc713971d1b69dd,d524dba1584854b8b7dd600e18d031dde3db2e0aaf46f9bd25ffe2b800033d9b,,
48,M60_rpoB_RNAP_beta_GCF_055389225.1,GCF_055389225.1,Sporosarcina sp. GTC18466,Sporosarcina,Sporosarcina sp. GTC18466,rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,3223418,2025-09-23,000d54046e242ad397bcab17e3ace619aa5537d0453ad02ed1791b2c9036554e,183a749a4174c6280b672f73e57530566b13357f6fcdef8fbc29bb56edce0b91,d56a7a08ba76afa6636e2c035f9a54ba9ba3e7f5a2c9f63fea5dfaf9b154f433,,
49,M60_rpoB_RNAP_beta_GCF_047374315.1,GCF_047374315.1,Neisseria gonorrhoeae,Neisseria,Neisseria gonorrhoeae,rpoB_RNAP_beta,challenge,Contig,scaffold_or_contig,2101090,2025-02-03,000f22fcdd2d0edb6867effa7549f6ee337baece94de033b05f1298d12bd947c,1fdf32c6ec6cff1147952bab98de5fed68ade41ae107dbfe94cf5710e269afa9,d84211eeeb249fc27aa4131b38baf0af524e6816c40ee00e6b9206b24bbae91b,9,12
50,M60_rpoB_RNAP_beta_GCF_057162725.1,GCF_057162725.1,Tenacibaculum sp. C7A-26P2,Tenacibaculum,Tenacibaculum sp. C7A-26P2,rpoB_RNAP_beta,challenge,Complete Genome,complete_or_chromosome,3781226,2026-05-01,006eb78390838ee6addba36e49a598d6079278ad7c92227de232895a6489df05,6da7e3ae979de4170023c5edbb7632cb570371a1c0fe51a6f5f46efd182590e2,e4db2cfeb65eda7901a8a90517082b0563b60122a505825e3dae6130cf480026,11,2
51,M60_tetA_tetracycline_efflux_GCF_058071205.1,GCF_058071205.1,Clostridioides difficile,Clostridioides,Clostridioides difficile,tetA_tetracycline_efflux,routine,Contig,scaffold_or_contig,4248665,2026-06-07,0007607b9e153af2bc4775896b928176712dfb45d081066c163fba442e4a2b20,e2a7e4c2897f4dae95572f48e594eb567fc8958d7093952945dabd63a5136afc,e718dc848eb384ae0643618f1705cec510b3e6e8955630e8732ef38f02272ac3,,
52,M60_rpoB_RNAP_beta_GCF_051042445.1,GCF_051042445.1,Sinorhizobium meliloti,Sinorhizobium,Sinorhizobium meliloti,rpoB_RNAP_beta,challenge,Complete Genome,complete_or_chromosome,6924788,2025-06-24,001b6f85857415ad183b2c02e60d4e166e1b506965ef6b63d8b4797412cf22a3,44d90b8e1f1e8fb7d11e83525d05b8d8fd1e9e30a14641b8563600a2eea77ab7,e8057313a474239b21cb6deb41a123419eb5991287986f7f2da22ebb6ac75793,9,8
53,M60_tetA_tetracycline_efflux_GCF_054050515.1,GCF_054050515.1,Blastococcus sp. SYSU D01042,Blastococcus,Blastococcus sp. SYSU D01042,tetA_tetracycline_efflux,challenge,Contig,scaffold_or_contig,3918204,2025-12-17,000aabc1ca86e817b94119802af02bf7f6610b2c5c911b8b64783ab0ed960859,5239068b508b389e813596f88acf32cd22063c949f16f102559895f9f8b329c2,ebd6bc3c657cf78ceaa981eaa35caaa71d68839b080291f7dd1cb66a2ce653dc,10,13
54,M60_rpoB_RNAP_beta_GCF_051384095.1,GCF_051384095.1,Salmonella sp. SC31,Salmonella,Salmonella sp. SC31,rpoB_RNAP_beta,routine,Scaffold,scaffold_or_contig,4873780,2025-07-16,0003e053ab43b43da8da574afbe87ca6585c989dcebbef9c93ae1ce74453add4,a72d9c7751301d8a3ac13663a14d0e5e7cbb680834bb47b409f84cdd2c71c237,ef2a42cb68cfa8990258e7836d0955d42985fddb625140232a5f368d8b33e25b,,
55,M60_rpoB_RNAP_beta_GCF_049993875.1,GCF_049993875.1,Aquihabitans sp. McL0605,Aquihabitans,Aquihabitans sp. McL0605,rpoB_RNAP_beta,challenge,Complete Genome,complete_or_chromosome,4824042,2025-04-29,001de7b66d4d2b1adc1f01b1759bc15048b5031e5c2fb22d34b50e5f9061f63e,0519490aff694b15447a4812ee22e3aea3906f3fde2ebb66237c1684871aa79f,ef2be96b0fa62f43a8b645eb846f758ce3b0d9fd166745343b0838bdc613a95a,9,7
56,M60_rpoB_RNAP_beta_GCF_060694225.1,GCF_060694225.1,Actinomyces cricetomys (nom. nud.),Actinomyces,Actinomyces cricetomys (nom. nud.),rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,2707859,2026-09-02,001944c453062157daade4689184f22c3e7e4ce93634e684d410d19282b385f7,a795a9ae9796e5767ef48fb6133d469304a2a4d67777290b41e6def624d43659,ef688d0ac340ec01d8f1e4bee3de9517b9938c18b19338334b9d87c9d6b470e5,,
